Data Element Name,Code Set Identifier,Code Set Type,Code,Descriptor,Program/Stream Restriction
Contact Account Class,HL70064,Code Set,AS,Armed Services,
Contact Account Class,HL70064,Code Set,CL,Common Law Recoveries,
Contact Account Class,HL70064,Code Set,JP,Prisoner,
Contact Account Class,HL70064,Code Set,MA,Reciprocal Health Care Agreement,
Contact Account Class,HL70064,Code Set,ME,Ineligible: hospital exempt,
Contact Account Class,HL70064,Code Set,MF,Ineligible: Asylum Seeker,
Contact Account Class,HL70064,Code Set,MG,Public Eligible:  Specified-grant-funded Outpatient,*OP
Contact Account Class,HL70064,Code Set,MP,Public Eligible,
Contact Account Class,HL70064,Code Set,MV,Public Eligible:  VACS-funded Outpatient,*OP
Contact Account Class,HL70064,Code Set,OO,Other Compensable,
Contact Account Class,HL70064,Code Set,PI,Private Patient:  Insured,
Contact Account Class,HL70064,Code Set,PO,Private Patient:  Other Payer,
Contact Account Class,HL70064,Code Set,PS,Private Patient:  Self Funded,
Contact Account Class,HL70064,Code Set,QM,Private Clinic:  MBS funded,*Not PC
Contact Account Class,HL70064,Code Set,QT,Commonwealth Funded: TCP,*TCP
Contact Account Class,HL70064,Code Set,SS,Seamen,
Contact Account Class,HL70064,Code Set,TA,Transport Accident Commission (TAC),
Contact Account Class,HL70064,Code Set,VX,Department of Veterans' Affairs (DVA),
Contact Account Class,HL70064,Code Set,WC,WorkSafe Victoria,
Contact Account Class,HL70064,Code Set,XX,Other Non-compensable,
Contact Care Model,HL70214,Code Set,1,Direct care/ complete care,
Contact Care Model,HL70214,Code Set,2,Shared care,
Contact Care Model,HL70214,Code Set,3,Consultancy care with ongoing patient/client follow-up,
Contact Care Model,HL70214,Code Set,4,Consultancy care with no further planned follow-up,
Contact Care Model,HL70214,Code Set,8,"Unknown, not stated or question not asked",
Contact Care Model,HL70214,Code Set,9,Not applicable - patient/client not present,
Contact Care Phase,HL70432,Code Set,1,Stable phase,
Contact Care Phase,HL70432,Code Set,2,Unstable phase,
Contact Care Phase,HL70432,Code Set,3,Deteriorating phase,
Contact Care Phase,HL70432,Code Set,4,Terminal phase,
Contact Care Phase,HL70432,Code Set,5,Bereavement phase,
Contact Care Phase,HL70432,Code Set,8,"Unknown, not stated or question not asked",
Contact Care Phase,HL70432,Code Set,9,Not applicable – patient/client not present,
Contact Client Present Status,HL70130,Code Set,10,Patient/Client present with or without carers(s)/relative(s),*Not PC
Contact Client Present Status,HL70130,Code Set,11,Patient/Client present only,
Contact Client Present Status,HL70130,Code Set,12,Patient/Client present with carers(s)/relative(s),
Contact Client Present Status,HL70130,Code Set,20,Carer(s)/Relative(s) of the patient/client only,
Contact Client Present Status,HL70130,Code Set,31,Patient/Client/Carer(s)/Relative(s) not present: Indirect Contact,*PC
Contact Client Present Status,HL70130,Code Set,32,Patient/Client/Carer(s)/Relative(s) not present: Scheduled appointment not attended,*Not PC
Contact Delivery Mode,HL70406,Code Set,1,Face-to-face,
Contact Delivery Mode,HL70406,Code Set,2,Telephone,
Contact Delivery Mode,HL70406,Code Set,3,Telehealth,
Contact Delivery Mode,HL70406,Code Set,4,Written,"*PC, VHS"
Contact Delivery Mode,HL70406,Code Set,9,Not applicable,*Not PC
Contact Delivery Setting,HL70305,Code Set,11,Hospital Setting - Inpatient Setting,*Not OP
Contact Delivery Setting,HL70305,Code Set,12,Hospital Setting - Clinic/Centre,
Contact Delivery Setting,HL70305,Code Set,13,Hospital Setting - Emergency Department,
Contact Delivery Setting,HL70305,Code Set,14,Hospital Setting - Other Non-Inpatient Setting ,
Contact Delivery Setting,HL70305,Code Set,15,Hospital Setting - Palliative Care Unit,
Contact Delivery Setting,HL70305,Code Set,21,Community Based Health Facility,
Contact Delivery Setting,HL70305,Code Set,22,General Practice Setting,
Contact Delivery Setting,HL70305,Code Set,23,Residential Care,
Contact Delivery Setting,HL70305,Code Set,24,Supported Accommodation Setting,*Not TCP
Contact Delivery Setting,HL70305,Code Set,31,Home,
Contact Delivery Setting,HL70305,Code Set,41,Educational Institution Setting,
Contact Delivery Setting,HL70305,Code Set,98,Not Applicable,
Contact Delivery Setting,HL70305,Code Set,99,Other,
Contact Delivery Setting,HL70305,Code Set,241,Supported Accommodation Setting - TCP - Home Based,*TCP
Contact Delivery Setting,HL70305,Code Set,242,Supported Accommodation Setting - TCP - Bed Based,*TCP
Contact Indigenous Status,HL70005,Code Set,1,Indigenous - Aboriginal but not Torres Strait Islander origin,
