campus_id,campus_name,public_hospital_indicator,type
1010,"Alfred, The [Prahran]",1,
1021,"Bendigo Hospital, The",1,
1022,Bendigo Health Care Group - Anne Caudle,1,
1031,Austin Hospital,1,
1032,Heidelberg Repatriation Hospital,1,
1040,Bairnsdale Regional Health Service,1,
1050,Box Hill Hospital,1,
1071,Hamilton Base Hospital,1,
1072,Penshurst & District Memorial,1,
1090,Bundoora Extended Care Centre,1,
1102,East Grampians Health Service [Willaura],1,
1101,East Grampians Health Service [Ararat],1,
1123,Goulburn Valley Health [Waranga],1,
1121,Goulburn Valley Health [Shepparton],1,
1122,Goulburn Valley Health [Tatura],1,
1130,Colac Area Health,1,
1150,Northeast Health Wangaratta,1,
1160,Mercy Hospital for Women,1,women
1170,Monash Medical Centre [Clayton],1,
1180,Footscray Hospital,1,
1191,Royal Childrens Hospital [Parkville],1,children
1210,Maroondah Hospital [East Ringwood],1,
1220,Monash Medical Centre [Moorabbin],1,
1230,Royal Womens Parkville,1,women
1240,"Royal Victorian Eye & Ear Hospital, The [East Melbourne]",1,ent
1250,Rosebud Hospital,1,
1260,Kyabram & District Health Service,1,
1270,Kyneton District Health Service,1,
1280,"Northern Hospital, The [Epping]",1,
1290,Tallangatta Health Service,1,
1320,Werribee Mercy Hospital,1,
1321,Mercy Mental Health Ursula Frayne Centre,1,
1332,Royal Melbourne Hospital Mental Health Services - Orygen Inpatient Unit [Footscray],1,
1334,Royal Melbourne Hospital - City Campus,1,
1335,Royal Melbourne Hospital - Royal Park campus,1,
1340,Heathcote Health,1,
1351,Maryborough District Health Service [Maryborough],1,
1352,Maryborough District Health Service [Dunolly],1,
1360,Sandringham & District Memorial Hospital,1,
1370,Caulfield General Medical Centre,1,
1390,Sunshine Hospital,1,
1450,St Vincents Hospital,1,
1460,Williamstown Hospital,1,
1480,Kooweerup Regional Health Service,1,
1491,Swan Hill District Health [Swan Hill],1,
1492,Swan Hill District Health [Nyah],1,
1500,Hesse Rural Health Service [Winchelsea],1,
1550,Peter MacCallum Cancer Institute,1,
1560,East Wimmera Health Service [Wycheproof],1,
1571,Rural Northwest Health [Warracknabeal],1,
1572,Rural Northwest Health [Hopetoun],1,
1580,West Gippsland Healthcare Group [Warragul],1,
1590,Angliss Hospital,1,
1650,Albury Wodonga Health - Albury,1,
1660,Albury Wodonga Health - Wodonga,1,
1670,Bass Coast Health,1,
1700,St Georges Health - Aged Care,1,aged
1770,Yarram & District Health Service,1,
1780,Yarrawonga District Health Service,1,
1881,Alpine Health [Myrtleford],1,
1882,Alpine Health [Bright],1,
1883,Alpine Health [Mount Beauty],1,
1900,Tweddle Child & Family Health Centre [Footscray],1,
2010,Ballarat Health Services [Base Campus],1,
2020,Otway Health [Apollo Bay],1,
2030,Kingston Centre [Cheltenham],1,
2040,Omeo District Health,1,
2050,University Hospital Geelong,1,
2060,Central Gippsland Health Service [Sale],1,
2070,Ballarat Health Services [Queen Elizabeth Campus],1,
2080,Caritas Christi Hospice Ltd [Kew],1,
2090,Casterton Memorial Hospital,1,
2100,OConnell Family Centre (Grey Sisters) Inc. [Canterbury],1,
2111,Dandenong Campus,1,
2120,"Peter James Centre, The [East Burwood]",1,
2130,Cohuna District Hospital,1,
2140,Coleraine District Health Services,1,
2150,Corryong Health,1,
2160,South West Healthcare [Warrnambool],1,
2170,Wimmera Base Hospital [Horsham],1,
3180,Dimboola District Hospital,1,
2180,Echuca Regional Health,1,
2190,Seymour Health,1,
2220,Frankston Hospital,1,
2230,Beaufort & Skipton Health Service [Skipton],1,
2240,Kerang District Health,1,
2251,Korumburra Hospital,1,
2252,Leongatha Memorial Hospital,1,
2260,Stawell Regional Health,1,
1232,Womens Sandringham,1,women
2320,New Mildura Base Hospital,1,
2330,Wantirna Health,1,
2350,Heywood Rural Health,1,
2360,Timboon & District Healthcare Service,1,
2371,West Wimmera Health Service [Nhill],1,
2372,West Wimmera Health Service [Kaniva],1,
2373,West Wimmera Health Service [Jeparit],1,
2374,West Wimmera Health Service [Rainbow],1,
2210,West Wimmera Health Service [Rupanyup],1,
2390,Mallee Track Health & Community Service,1,
2440,Latrobe Regional Hospital [Traralgon],1,
2450,Moyne Health Services [Port Fairy],1,
2460,Portland District Health,1,
2480,East Wimmera Health Service [St Arnaud],1,
2550,Lorne Community Hospital,1,
2580,Central Gippsland Health Service [Maffra],1,
2590,Maldon Hospital,1,
2650,Cranbourne Int Care Centre,1,
2670,Mansfield District Hospital,1,
2700,Sunbury Day Hospital,1,
2970,Broadmeadows Health Service,1,
3010,Alexandra District Health,1,
3020,Djerriwarrh Health Service [Bacchus Marsh],1,
3030,Numurkah & District Health Service,1,
3040,Grace McKellar Centre [Geelong],1,
3050,Calvary Health Care Bethlehem,1,
3060,Boort District Health,1,
3080,South West Healthcare [Camperdown],1,
3110,Queen Elizabeth Centre [Noble Park],1,
3120,Beaufort & Skipton Health Service [Beaufort],1,
3130,Robinvale District Health Services,1,
