country_id,country_description,weight
0001,At Sea,1
0004,Unknown (the destination or origin of the goods is unknown),1
0005,Unidentified (the country reported on import/export documentation is not recognised),1
0601,Asia-Pacific Economic Co-operation (APEC),1
0602,Association of South East Asian Nations (ASEAN),1
0603,European Economic Area (EEA),1
0604,European Union (EU),1
0605,Organisation for Economic Co-operation and Development (OECD),1
0606,Organisation of Petroleum Exporting Countries (OPEC),1
0607,South Pacific Regional Trade and Economic Co-operation Agreement (SPARTECA),1
0608,The Commonwealth,1
0611,Europe,1
0612,Europe and the Former USSR,1
0613,Former USSR,1
0614,Asia,1
0615,East Asia,1
0616,Africa,1
0617,Arab League,1
0618,Economic and Monetary Union of the European Union (EMU),1
0701,"Africa, nec",1
0702,"Americas, nec",1
0703,"Asia, nec",1
0704,Belgium and Luxembourg,1
0705,Central America and the Caribbean (excludes Mexico),1
0706,Christmas Island,1
0707,Cocos (Keeling) Islands,1
0708,Country conf. Alumina (a secondary (International Trade specific) confidentiality restriction for exports of alumina to specific countries),1
0711,Denmark (includes Greenland and Faroe Islands),1
0712,Eurodollar Market,1
0713,"Europe, nec",1
0714,Falkland Islands (includes South Georgia and South Sandwich Islands),1
0715,France (includes Andorra and Monaco),1
0716,French Antilles (Guadeloupe and Martinique),1
0717,French Southern Territories,1
0718,International Capital Markets,1
0721,International Institutions,1
0722,International Waters (goods placed in the ocean outside any territorial waters or exclusive economic zone),1
0724,Johnston and Sand Islands,1
0725,Midway Islands,1
0726,Morocco (includes places under Spanish sovereignty),1
0727,No Country Details (overseas country detail for exports not available due to a confidentiality restriction),1
0728,"Oceania, nec",1
0731,Other ASEAN,1
0732,"Other Asia, nec (excludes ASEAN)",1
0733,Other EU,1
0734,Other Europe,1
0735,Other Europe (excludes EU and OECD),1
0736,Other OECD,1
0737,Other OECD in Europe,1
0741,"Reserve Bank Gold (gold, held by the Reserve Bank of Australia as part of reserve assets, that cannot be allocated by country)",1
0742,"Ships' and Aircraft Stores (stores, including fuel, loaded onto foreign registered ships and aircraft)",1
0743,Switzerland (includes Liechtenstein),1
0744,United States Miscellaneous Islands,1
0745,Wake Island,1
0746,"Australia (includes External Territories, Australian Antarctic Territory and Norfolk Island)",1
0747,JPDA (Joint Petrolium Development Area - administered by Australia and East Timor),1
0748,"APEC, nfd",1
0751,"ASEAN, nfd",1
0752,"EEA, nfd",1
0753,"EU, nfd",1
0754,"OECD, nfd",1
0755,"OPEC, nfd",1
0756,"SPARTECA, nfd",1
0757,"The Commonwealth, nfd",1
0758,"Arab League, nfd",1
0761,"EMU, nfd",1
1000,Oceania and Antarctica,1
1100,Australia (includes External Territories),1
1101,Australia,200
1102,Norfolk Island,1
1199,"Australian External Territories, nec",1
1201,New Zealand,1
1300,Melanesia,1
1301,New Caledonia,1
1302,Papua New Guinea,1
1303,Solomon Islands,1
1304,Vanuatu,1
1400,Micronesia,1
1401,Guam,1
1402,Kiribati,1
1403,Marshall Islands,1
1404,"Micronesia, Federated States of",1
1405,Nauru,1
1406,Northern Mariana Islands,1
1407,Palau,1
1500,Polynesia (excludes Hawaii),1
1501,Cook Islands,1
1502,Fiji,1
1503,French Polynesia,1
1504,Niue,1
1505,Samoa,1
1506,"Samoa, American",1
1507,Tokelau,1
1508,Tonga,1
1511,Tuvalu,1
1512,Wallis and Futuna,1
1513,Pitcairn Islands,1
1599,"Polynesia (excludes Hawaii), nec",1
1600,Antarctica,1
1601,Adélie Land (France),1
1602,Argentinian Antarctic Territory,1
1603,Australian Antarctic Territory,1
1604,British Antarctic Territory,1
1605,Chilean Antarctic Territory,1
1606,Queen Maud Land (Norway),1
1607,Ross Dependency (New Zealand),1
2000,North-West Europe,1
2100,"United Kingdom, Channel Islands and Isle of Man",1
2102,England,1
2103,Isle of Man,1
2104,Northern Ireland,1
2105,Scotland,1
2106,Wales,1
