"diag_code","diag_desc"
"C443","Malignant neoplasm of skin of other and unspecified parts of face"
"S024","Fracture of malar and maxillary bones"
"I255","Ischaemic cardiomyopathy"
"K254","Gastric ulcer, chronic or unspecified with haemorrhage"
"I7023","Atherosclerosis of arteries of extremities with ulceration"
"A410","Sepsis due to Staphylococcus aureus"
"C250","Malignant neoplasm of head of pancreas"
"I959","Hypotension, unspecified"
"D128","Benign neoplasm of rectum"
"S4203","Fracture of acromial end of clavicle"
"S921","Fracture of talus"
"I2511","Atherosclerotic heart disease, of native coronary artery"
"S3600","Injury of spleen, unspecified"
"K851","Biliary acute pancreatitis"
"T848","Other complications of internal orthopaedic prosthetic devices, implants and grafts"
"O80","Single spontaneous delivery"
"K210","Gastro-oesophageal reflux disease with oesophagitis"
"Z509","Care involving use of rehabilitation procedure, unspecified"
"S2206","Fracture of thoracic vertebra, T11 and T12 level"
"P9681","Jittery baby"
"J440","Chronic obstructive pulmonary disease with acute lower respiratory infection"
"K922","Gastrointestinal haemorrhage, unspecified"
"S8188","Open wound of other parts of lower leg"
"N328","Other specified disorders of bladder"
"C781","Secondary malignant neoplasm of mediastinum"
"C445","Malignant neoplasm of skin of trunk"
"P0732","Other preterm infant, 32 or more completed weeks but less than 37 completed weeks"
"N200","Calculus of kidney"
"S0265","Fracture of angle of jaw"
"C01","Malignant neoplasm of base of tongue"
"J351","Hypertrophy of tonsils"
"K5730","Diverticulosis of large intestine without perforation, abscess or mention of haemorrhage"
"C509","Malignant neoplasm of breast, unspecified part"
"K449","Diaphragmatic hernia without obstruction or gangrene"
"Z491","Extracorporeal dialysis"
"K628","Other specified diseases of anus and rectum"
"F3290","Depressive episode, unspecified, not specified as arising in the postnatal period"
"M754","Impingement syndrome of shoulder"
"O049","Medical abortion, complete or unspecified, without complication"
"C20","Malignant neoplasm of rectum"
"K8000","Calculus of gallbladder with acute cholecystitis, without mention of obstruction"
"N390","Urinary tract infection, site not specified"
"T840","Mechanical complication of internal joint prosthesis"
"N811","Cystocele"
"J328","Other chronic sinusitis"
"C61","Malignant neoplasm of prostate"
"M1902","Primary arthrosis of other joints, upper arm"
"K2950","Chronic gastritis, unspecified, without mention of haemorrhage"
"R104","Other and unspecified abdominal pain"
"O81","Single delivery by forceps and vacuum extractor"
"K811","Chronic cholecystitis"
"S524","Fracture of shafts of both ulna and radius"
"S3180","Open wound of other and unspecified parts of abdomen"
"C541","Malignant neoplasm of endometrium"
"I214","Acute subendocardial myocardial infarction"
"A4151","Sepsis due to Escherichia coli [E. Coli]"
"C341","Malignant neoplasm of upper lobe, bronchus or lung"
"K859","Acute pancreatitis, unspecified"
"R91","Abnormal findings on diagnostic imaging of lung"
"T813","Disruption of operation wound, not elsewhere classified"
"I671","Cerebral aneurysm, nonruptured"
"O842","Multiple delivery, all by caesarean section"
"N979","Female infertility, unspecified"
"S468","Injury of other muscles and tendons at shoulder and upper arm level"
"S969","Injury of unspecified muscle and tendon at ankle and foot level"
"T852","Mechanical complication of intraocular lens"
"C696","Malignant neoplasm of orbit"
"D591","Other autoimmune haemolytic anaemias"
"S6188","Open wound of other parts of wrist and hand"
"K5522","Angiodysplasia of colon with haemorrhage"
"G20","Parkinson's disease"
"S0261","Fracture of condylar process"
"S066","Traumatic subarachnoid haemorrhage"
"F059","Delirium, unspecified"
"S660","Injury of long flexor muscle and tendon of thumb at wrist and hand level"
"J441","Chronic obstructive pulmonary disease with acute exacerbation, unspecified"
"I352","Aortic (valve) stenosis with insufficiency"
"C9100","Acute lymphoblastic leukaemia [ALL], without mention of remission"
"C795","Secondary malignant neoplasm of bone and bone marrow"
"K810","Acute cholecystitis"
"R296","Tendency to fall, not elsewhere classified"
"G459","Transient cerebral ischaemic attack, unspecified"
"I64","Stroke, not specified as haemorrhage or infarction"
"J690","Pneumonitis due to food and vomit"
"C793","Secondary malignant neoplasm of brain and cerebral meninges"
"S642","Injury of radial nerve at wrist and hand level"
"S7203","Fracture of subcapital section of femur"
"N201","Calculus of ureter"
"O82","Single delivery by caesarean section"
"R101","Pain localised to upper abdomen"
"I639","Cerebral infarction, unspecified"
"S2243","Multiple rib fractures, involving three ribs"
"J348","Other specified disorders of nose and nasal sinuses"
"I213","Acute transmural myocardial infarction of unspecified site"
"T810","Haemorrhage and haematoma complicating a procedure, not elsewhere classified"
"K566","Other and unspecified intestinal obstruction"
"I714","Abdominal aortic aneurysm, without mention of rupture"
"D649","Anaemia, unspecified"
"E1173","Type 2 diabetes mellitus with foot ulcer due to multiple causes"
"A401","Sepsis due to streptococcus, group B"
"R11","Nausea and vomiting"
"T854","Mechanical complication of breast prosthesis and implant"
"C446","Malignant neoplasm of skin of upper limb, including shoulder"
"N62","Hypertrophy of breast"
"D233","Other benign neoplasms of skin of other and unspecified parts of face"
"R194","Change in bowel habit"
"S399","Unspecified injury of abdomen, lower back and pelvis"
"R634","Abnormal weight loss"
"C55","Malignant neoplasm of uterus, part unspecified"
"P0731","Other preterm infant, 28 or more completed weeks but less than 32 completed weeks"
"N840","Polyp of corpus uteri"
"H409","Glaucoma, unspecified"
"K638","Other specified diseases of intestine"
"C440","Malignant neoplasm of skin of lip"
"C182","Malignant neoplasm of ascending colon"
"I060","Rheumatic aortic stenosis"
"E86","Volume depletion"
"M161","Other primary coxarthrosis"
"K291","Other acute gastritis"
"S462","Injury of muscle and tendon of other parts of biceps"
"K528","Other specified noninfective gastroenteritis and colitis"
"Z139","Special screening examination, unspecified"
"T8141","Wound infection following a procedure"
"E1102","Type 2 diabetes mellitus with hyperosmolarity with coma"
"K648","Other specified haemorrhoids"
"D509","Iron deficiency anaemia, unspecified"
"S460","Injury of muscle(s) and tendon(s) of the rotator cuff of shoulder"
"N132","Hydronephrosis with renal and ureteral calculous obstruction"
"N812","Incomplete uterovaginal prolapse"
"P369","Bacterial sepsis of newborn, unspecified"
"P2840","Apnoea of newborn, unspecified"
"D251","Intramural leiomyoma of uterus"
"I460","Cardiac arrest with successful resuscitation"
"M4805","Spinal stenosis, thoracolumbar region"
"I319","Disease of pericardium, unspecified"
"I489","Atrial fibrillation and atrial flutter, unspecified"
"K011","Impacted teeth"
"S011","Open wound of eyelid and periocular area"
"N803","Endometriosis of pelvic peritoneum"
"M1901","Primary arthrosis of other joints, shoulder region"
"N832","Other and unspecified ovarian cysts"
"C447","Malignant neoplasm of skin of lower limb, including hip"
"Z4000","Prophylactic surgery for risk-factors related to malignant neoplasms, Breast"
"N800","Endometriosis of uterus"
"R300","Dysuria"
"K420","Umbilical hernia with obstruction, without gangrene"
"R53","Malaise and fatigue"
"F412","Mixed anxiety and depressive disorder"
"Z511","Pharmacotherapy session for neoplasm"
"O001","Tubal pregnancy"
"K520","Gastroenteritis and colitis due to radiation"
"K921","Melaena"
"E213","Hyperparathyroidism, unspecified"
"M171","Other primary gonarthrosis"
"C441","Malignant neoplasm of skin of eyelid, including canthus"
"G560","Carpal tunnel syndrome"
"J984","Other disorders of lung"
"M1397","Arthritis, unspecified, ankle and foot"
"I209","Angina pectoris, unspecified"
"M751","Rotator cuff syndrome"
"S6250","Fracture of thumb, part unspecified"
"S423","Fracture of shaft of humerus"
"K8010","Calculus of gallbladder with other cholecystitis, without mention of obstruction"
"S723","Fracture of shaft of femur"
"C340","Malignant neoplasm of main bronchus"
"K227","Barrett's oesophagus"
"K591","Functional diarrhoea"
"H269","Cataract, unspecified"
"S324","Fracture of acetabulum"
"D125","Benign neoplasm of sigmoid colon"
"M8445","Pathological fracture, not elsewhere classified, pelvic region and thigh"
"D485","Neoplasm of uncertain or unknown behaviour of skin"
"R103","Pain localised to other parts of lower abdomen"
"Z548","Convalescence following other treatment"
"K8011","Calculus of gallbladder with other cholecystitis, with obstruction"
"R55","Syncope and collapse"
"A099","Gastroenteritis and colitis of unspecified origin"
"S5201","Fracture of olecranon process of ulna"
"I832","Varicose veins of lower extremities with both ulcer and inflammation"
"S9228","Fracture of other part of tarsal bone"
"Z099","Follow-up examination after unspecified treatment for other conditions"
"N950","Postmenopausal bleeding"
"F1529","Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome, other specified stimulants"
"N920","Excessive and frequent menstruation with regular cycle"
"Q7503","Trigonocephaly"
"S032","Dislocation of tooth"
"C539","Malignant neoplasm of cervix uteri, unspecified"
"C343","Malignant neoplasm of lower lobe, bronchus or lung"
"J22","Unspecified acute lower respiratory infection"
"G35","Multiple sclerosis"
"S325","Fracture of pubis"
"S699","Unspecified injury of wrist and hand"
"I210","Acute transmural myocardial infarction of anterior wall"
"C402","Malignant neoplasm of long bones of lower limb"
"C629","Malignant neoplasm of testis, unspecified"
"C163","Malignant neoplasm of pyloric antrum"
"D120","Benign neoplasm of caecum"
"S825","Fracture of medial malleolus"
"F332","Recurrent depressive disorder, current episode severe without psychotic symptoms"
"S065","Traumatic subdural haemorrhage"
"I500","Congestive heart failure"
"A419","Sepsis, unspecified"
"T232","Partial thickness [blisters, epidermal loss] burn of wrist and hand"
"Z090","Follow-up examination after surgery for other conditions"
"G439","Migraine, unspecified"
"T202","Partial thickness [blisters, epidermal loss] burn of head and neck"
"T8681","Lung transplant failure and rejection"
"M952","Other acquired deformity of head"
"D090","Carcinoma in situ of bladder"
"S5259","Other and multiple fractures of lower end of radius"
"S3681","Injury of peritoneum"
"S398","Other specified injuries of abdomen, lower back and pelvis"
"C504","Malignant neoplasm of upper-outer quadrant of breast"
"I952","Hypotension due to drugs"
"M545","Low back pain"
"S681","Traumatic amputation of other single finger (complete)(partial)"
"I632","Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries"
"J350","Chronic tonsillitis"
"D047","Carcinoma in situ of skin of lower limb, including hip"
"Z470","Follow-up care involving removal of fracture plate and other internal fixation device"
"M2555","Pain in a joint, pelvic region and thigh"
"S2781","Injury of diaphragm"
"T827","Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts"
"Z500","Cardiac rehabilitation"
"M513","Other specified intervertebral disc degeneration"
"K222","Oesophageal obstruction"
"K521","Toxic gastroenteritis and colitis"
"B441","Other pulmonary aspergillosis"
"L270","Generalised skin eruption due to drugs and medicaments"
"N179","Acute kidney failure, unspecified"
"N938","Other specified abnormal uterine and vaginal bleeding"
"H939","Disorder of ear, unspecified"
"R418","Other and unspecified symptoms and signs involving cognitive functions and awareness"
"J069","Acute upper respiratory infection, unspecified"
"S298","Other specified injuries of thorax"
"I495","Sick sinus syndrome"
"Z080","Follow-up examination after surgery for malignant neoplasm"
"C833","Diffuse large B-cell lymphoma"
"D352","Benign neoplasm of pituitary gland"
"C609","Malignant neoplasm of penis, unspecified"
"Z432","Attention to ileostomy"
"C73","Malignant neoplasm of thyroid gland"
"M544","Lumbago with sciatica"
"Z121","Special screening examination for neoplasm of intestinal tract"
"C530","Malignant neoplasm of endocervix"
"S832","Tear of meniscus, current"
"C543","Malignant neoplasm of fundus uteri"
"C159","Malignant neoplasm of oesophagus, unspecified"
"M702","Olecranon bursitis"
"C049","Malignant neoplasm of floor of mouth, unspecified"
"C770","Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck"
"R628","Other lack of expected normal physiological development"
"S5251","Fracture of lower end of radius with dorsal angulation"
"S711","Open wound of thigh"
"R509","Fever, unspecified"
"M6596","Unspecified synovitis and tenosynovitis, lower leg"
"K2970","Gastritis, unspecified, without mention of haemorrhage"
"K353","Acute appendicitis with localised peritonitis"
"I951","Orthostatic hypotension"
"H251","Senile nuclear cataract"
"M950","Acquired deformity of nose"
"K703","Alcoholic cirrhosis of liver"
"R33","Retention of urine"
"N946","Dysmenorrhoea, unspecified"
"I350","Aortic (valve) stenosis"
"K2960","Other gastritis, without mention of haemorrhage"
"S8281","Bimalleolar fracture, ankle"
"F009","Dementia in Alzheimer's disease, unspecified (G30.9+)"
"S6263","Fracture of distal phalanx"
"S8221","Fracture of shaft of tibia with fracture of fibula (any part)"
"G4732","Obstructive sleep apnoea syndrome"
"C782","Secondary malignant neoplasm of pleura"
"S6252","Fracture of distal phalanx of thumb"
"C679","Malignant neoplasm of bladder, unspecified"
"J342","Deviated nasal septum"
"M1907","Primary arthrosis of other joints, ankle and foot"
"N736","Female pelvic peritoneal adhesions"
"J189","Pneumonia, unspecified"
"M301","Polyarteritis with lung involvement [Churg-Strauss]"
"S761","Injury of quadriceps muscle and tendon"
"Z302","Sterilisation"
"R074","Chest pain, unspecified"
"K519","Ulcerative colitis, unspecified"
"J9601","Acute respiratory failure, type II"
"E871","Hypo-osmolality and hyponatraemia"
"K590","Constipation"
"O459","Premature separation of placenta, unspecified"
"T430","Tricyclic and tetracyclic antidepressants"
"I211","Acute transmural myocardial infarction of inferior wall"
"T856","Mechanical complication of other specified internal prosthetic devices, implants and grafts"
"Z098","Follow-up examination after other treatment for other conditions"
"N459","Orchitis, epididymitis and epididymo-orchitis without abscess"
"S820","Fracture of patella"
"O021","Missed abortion"
"M511","Lumbar and other intervertebral disc disorders with radiculopathy (G55.1*)"
"K432","Incisional hernia without obstruction or gangrene"
"C671","Malignant neoplasm of dome of bladder"
"K436","Other and unspecified ventral hernia with obstruction, without gangrene"
"I743","Embolism and thrombosis of arteries of lower extremities"
"M2322","Derangement of posterior horn of medial meniscus due to old tear or injury"
"J851","Abscess of lung with pneumonia"
"N359","Urethral stricture, unspecified"
"N701","Chronic salpingitis and oophoritis"
"C444","Malignant neoplasm of skin of scalp and neck"
"I982","Oesophageal varices without mention of bleeding in diseases classified elsewhere"
"K649","Haemorrhoids, unspecified"
"R195","Other faecal abnormalities"
"D129","Benign neoplasm of anus and anal canal"
"A090","Other gastroenteritis and colitis of infectious origin"
"N210","Calculus in bladder"
"I200","Unstable angina"
"K6350","Polyp of colon, unspecified"
"R198","Other specified symptoms and signs involving the digestive system and abdomen"
"K760","Fatty (change of) liver, not elsewhere classified"
"K266","Duodenal ulcer, chronic or unspecified with both haemorrhage and perforation"
"E162","Hypoglycaemia, unspecified"
"S7211","Fracture of intertrochanteric section of femur"
"C442","Malignant neoplasm of skin of ear and external auricular canal"
"D122","Benign neoplasm of ascending colon"
"I340","Mitral (valve) insufficiency"
"K529","Noninfective gastroenteritis and colitis, unspecified"
"C508","Overlapping malignant lesion of breast"
"T841","Mechanical complication of internal fixation device of bones of limb"
"M2537","Other instability of joint, ankle and foot"
"S826","Fracture of lateral malleolus"
"T855","Mechanical complication of gastrointestinal prosthetic devices, implants and grafts"
"Q2119","Other specified atrial septal defect"
"Q765","Cervical rib"
"S0151","Open wound of lip"
"M2482","Other specific joint derangements, not elsewhere classified, upper arm"
"M502","Other cervical disc displacement"
"K219","Gastro-oesophageal reflux disease without oesophagitis"
"M179","Gonarthrosis, unspecified"
"K30","Functional dyspepsia"
"K5702","Diverticulitis of small intestine with perforation and abscess, without mention of haemorrhage"
"D043","Carcinoma in situ of skin of other and unspecified parts of face"
"S722","Subtrochanteric fracture"
"H440","Purulent endophthalmitis"
"C693","Malignant neoplasm of choroid"
"S064","Epidural haemorrhage"
"P0722","Extreme immaturity, 24 or more completed weeks but less than 28 completed weeks"
"K223","Perforation of oesophagus"
"K632","Fistula of intestine"
"B182","Chronic viral hepatitis C"
"I839","Varicose veins of lower extremities without ulcer or inflammation"
"F3220","Severe depressive episode without psychotic symptoms, not specified as arising in the postnatal period"
"Z7511","Person awaiting admission to residential aged care service"
"D62","Acute posthaemorrhagic anaemia"
"E872","Acidosis"
"F312","Bipolar affective disorder, current episode manic with psychotic symptoms"
"J392","Other diseases of pharynx"
"D27","Benign neoplasm of ovary"
"O429","Premature rupture of membranes, unspecified"
