"procedure_code","procedure_desc"
3123500,"Excision of lesion(s) of skin and subcutaneous tissue of other site of head"
4778600,"Open reduction of fracture of maxilla with internal fixation"
3839300,"Insertion of cardiac defibrillator generator"
3047807,"Endoscopic administration of agent into lesion of stomach or duodenum"
9555002,"Allied health intervention, occupational therapy"
9555000,"Allied health intervention, dietetics"
3058400,"Pancreaticoduodenectomy with formation of stoma"
3209300,"Fibreoptic colonoscopy to caecum, with polypectomy"
4746501,"Open reduction of fracture of clavicle with internal fixation"
3849700,"Coronary artery bypass, using 1 saphenous vein graft"
3532105,"Transcatheter embolisation of blood vessels, abdomen"
4184900,"Laryngoscopy"
4793001,"Removal of plate, rod or nail from femur"
9048100,"Suture of first or second degree tear of perineum"
9555003,"Allied health intervention, physiotherapy"
9067700,"Other phototherapy, skin"
9220901,"Management of noninvasive ventilatory support, > 24 and < 96 hours"
3209001,"Fibreoptic colonoscopy to caecum, with biopsy"
4543900,"Small split skin graft of other site"
3720300,"Transurethral resection of prostate [TURP]"
1370602,"Administration of packed cells"
9220900,"Management of noninvasive ventilatory support, <= 24 hours"
3654600,"Extracorporeal shockwave lithotripsy [ESWL] of urinary tract"
4778900,"Open reduction of fracture of mandible with internal fixation"
1526900,"Radiation treatment, megavoltage, >= 2 fields, dual modality linear accelerator"
4178900,"Tonsillectomy without adenoidectomy"
3150000,"Excision of lesion of breast"
1657300,"Suture of third or fourth degree tear of perineum"
1310000,"Haemodialysis"
9555009,"Allied health intervention, pharmacy"
3047301,"Panendoscopy to duodenum with biopsy"
9047200,"Episiotomy"
4890300,"Decompression of subacromial space"
3564003,"Suction curettage of uterus"
3202500,"Low anterior resection of rectum"
3044500,"Laparoscopic cholecystectomy"
9555005,"Allied health intervention, speech pathology"
4953001,"Revision of total arthroplasty of knee with bone graft to tibia"
3557300,"Repair of anterior and posterior vaginal compartment, vaginal approach"
4167200,"Reconstruction of nasal septum"
3721000,"Radical prostatectomy with bladder neck reconstruction"
4912101,"Arthroscopic removal of loose body of elbow"
3047300,"Panendoscopy to duodenum"
9046801,"Mid-cavity forceps delivery"
4738402,"Open reduction of fracture of shaft of radius with internal fixation"
9032900,"Other repair of abdomen"
9044802,"Total laparoscopic abdominal hysterectomy with removal of adnexa"
3821800,"Coronary angiography with left heart catheterisation"
3843801,"Lobectomy of lung"
3881200,"Percutaneous needle biopsy of lung"
3039000,"Laparoscopy"
3980000,"Clipping of cerebral aneurysm"
1652002,"Elective lower segment caesarean section"
9250699,"Neuraxial block during labour, ASA 99"
3563000,"Diagnostic hysteroscopy"
9046900,"Vacuum extraction with delivery"
4890900,"Repair of rotator cuff with decompression of subacromial space"
4795400,"Repair of tendon, not elsewhere classified"
4273100,"Capsulectomy of lens by posterior chamber sclerotomy with removal of vitreous"
4253600,"Exenteration of orbit"
1370605,"Administration of gamma globulin"
3002300,"Excisional debridement of soft tissue"
4643200,"Primary repair of flexor tendon of hand, distal to A1 pulley"
3848801,"Replacement of aortic valve with bioprosthesis"
9619900,"Intravenous administration of pharmacological agent, antineoplastic agent"
4931500,"Partial arthroplasty of hip"
3933000,"Open neurolysis of peripheral nerve, not elsewhere classified"
9555004,"Allied health intervention, podiatry"
3682101,"Endoscopic insertion of ureteric stent"
9555014,"Allied health intervention, diabetes education"
9602700,"Prescribed/self-selected medication assessment"
9046505,"Medical and surgical induction of labour"
4179700,"Arrest of haemorrhage following tonsillectomy and adenoidectomy"
3037800,"Division of abdominal adhesions"
3311600,"Endovascular repair of aneurysm"
4435800,"Amputation of toe including metatarsal bone"
9206200,"Administration of other serum"
3033200,"Excision of lymph node of axilla"
4555400,"Removal of breast prosthesis with excision of fibrous capsule and replacement of prosthesis and formation of new pocket"
3120500,"Excision of lesion(s) of skin and subcutaneous tissue of other site"
3152401,"Subcutaneous mastectomy, bilateral"
3123001,"Excision of lesion(s) of skin and subcutaneous tissue of nose"
3209000,"Fibreoptic colonoscopy to caecum"
3564000,"Dilation & curettage of uterus [D&C]"
1652003,"Emergency lower segment caesarean section"
1388201,"Management of continuous ventilatory support, more than 24 hours and less than 96 hours"
9619907,"Intravenous administration of pharmacological agent, nutritional substance"
4274604,"Trabeculectomy"
4566500,"Full thickness wedge excision of lip"
1651400,"Internal fetal monitoring"
3200301,"Right hemicolectomy with anastomosis"
4189800,"Fibreoptic bronchoscopy"
3850300,"Coronary artery bypass, using >= 2 LIMA grafts"
4931800,"Total arthroplasty of hip, unilateral"
3563702,"Laparoscopic diathermy of lesion of pelvic cavity"
3023500,"Repair of ruptured muscle, not elsewhere classified"
4930300,"Arthrotomy of hip"
4890600,"Repair of rotator cuff"
3565800,"Debulking of uterus preceding hysterectomy"
9619902,"Intravenous administration of pharmacological agent, anti-infective agent"
1388200,"Management of continuous ventilatory support, <= 24 hours"
3565304,"Total abdominal hysterectomy with removal of adnexa"
9046602,"Medical and surgical augmentation of labour"
3821500,"Coronary angiography"
4030001,"Discectomy, 2 or more levels"
3845200,"Subxyphoid drainage of pericardium"
3828701,"Catheter ablation of arrhythmia circuit or focus, not elsewhere classified"
9732402,"Surgical removal of 2 teeth requiring both removal of bone and tooth division"
4891800,"Total arthroplasty of shoulder"
3563812,"Laparoscopic salpingo-oophorectomy, bilateral"
3123503,"Excision of lesion(s) of skin and subcutaneous tissue of leg"
3566400,"Radical abdominal hysterectomy with radical excision of pelvic lymph nodes"
3575302,"Laparoscopically assisted vaginal hysterectomy with removal of adnexa"
3683600,"Endoscopic biopsy of bladder"
3061500,"Repair of incarcerated, obstructed or strangulated hernia"
9616900,"Assistance with activities related to parenting"
9555001,"Allied health intervention, social work"
3567801,"Laparoscopic salpingectomy with removal of tubal pregnancy"
3031500,"Subtotal parathyroidectomy"
4951800,"Total arthroplasty of knee, unilateral"
4566501,"Full thickness wedge excision of eyelid"
4956101,"Arthroscopic meniscectomy of knee with debridement, osteoplasty or chondroplasty"
3933101,"Release of carpal tunnel"
3843600,"Thoracoscopy"
4981500,"Triple arthrodesis of foot"
3830602,"Percutaneous insertion of >= 2 transluminal stents into multiple coronary arteries"
4896000,"Arthroscopic reconstruction of shoulder"
4733300,"Open reduction of intra-articular fracture of proximal phalanx of hand"
4745001,"Open reduction of fracture of shaft of humerus with internal fixation"
4753100,"Closed reduction of fracture of femur with internal fixation"
3880300,"Therapeutic thoracentesis"
3681801,"Endoscopic ureteric catheterisation with fluoroscopic imaging of upper urinary tract, bilateral"
4555200,"Removal of breast prosthesis with excision of fibrous capsule and replacement of prosthesis"
4270204,"Extracapsular extraction of crystalline lens by phacoemulsification and aspiration of cataract with insertion of foldable artificial lens"
3200302,"Laparoscopic limited excision of large intestine with anastomosis"
4752200,"Hemiarthroplasty of femur"
9204400,"Other oxygen enrichment"
3850000,"Coronary artery bypass, using 1 LIMA graft"
3044300,"Cholecystectomy"
4270210,"Other extraction of crystalline lens with insertion of foldable artificial lens"
4739901,"Open reduction of fracture of olecranon with internal fixation"
4762401,"Open reduction of fracture of tarsometatarsal joint with internal fixation"
3017700,"Lipectomy of abdominal apron, radical"
3561100,"Cervical polypectomy"
9200700,"Drug rehabilitation and detoxification"
4578502,"Frontal advancement with total orbital advancement, bilateral"
9731101,"Removal of 1 tooth or part(s) thereof"
1530400,"Brachytherapy, intrauterine, high dose rate"
3049100,"Endoscopic stenting of other parts of biliary tract"
1172103,"Testing of atrioventricular [AV] sequential, rate responsive or antitachycardia cardiac pacemaker"
4651600,"Debridement of fingernail"
4760301,"Open reduction of fracture of ankle with internal fixation, 2 of diastasis, fibula or malleolus"
9334114,"Electroconvulsive therapy [ECT], 14 treatments"
3960301,"Removal of intracranial haematoma with craniectomy"
3835300,"Insertion of cardiac pacemaker generator"
4548504,"Split skin graft to burn of hand"
4189802,"Fibreoptic bronchoscopy with broncho-alveolar lavage [BAL]"
4060003,"Other cranioplasty"
4736602,"Open reduction of fracture of distal radius with internal fixation"
9040000,"Other repair of testis"
3151500,"Re-excision of lesion of breast"
3002301,"Excisional debridement of soft tissue involving bone or cartilage"
3563301,"Polypectomy of uterus via hysteroscopy"
4169201,"Submucous resection of turbinate, bilateral"
4178901,"Tonsillectomy with adenoidectomy"
4751900,"Internal fixation of fracture of trochanteric or subcapital femur"
3123502,"Excision of lesion(s) of skin and subcutaneous tissue of hand"
4793000,"Removal of plate, rod or nail, not elsewhere classified"
3048500,"Endoscopic sphincterotomy"
3006800,"Removal of foreign body in soft tissue, not elsewhere classified"
4792700,"Removal of pin, screw or wire, not elsewhere classified"
3453005,"Removal of vascular access device"
3541200,"Endovascular occlusion of cerebral aneurysm or arteriovenous malformation"
1827600,"Administration of anaesthetic agent around paravertebral nerves, multiple levels"
9034202,"Suture of laceration of stomach"
4189801,"Fibreoptic bronchoscopy with biopsy"
3830600,"Percutaneous insertion of 1 transluminal stent into single coronary artery"
1171800,"Testing of other cardiac pacemaker"
4794800,"Removal of external fixation device"
4163201,"Myringotomy with insertion of tube, bilateral"
4080300,"Intracranial stereotactic localisation"
3056200,"Closure of loop ileostomy"
3030601,"Total thyroid lobectomy, unilateral"
4270700,"Replacement of artificial lens"
3561800,"Cone biopsy of cervix"
3011100,"Excision of large bursa"
3048100,"Initial insertion of percutaneous endoscopic gastrostomy [PEG] tube"
1523900,"Radiation treatment, megavoltage, >= 2 fields, single modality linear accelerator"
4952400,"Total arthroplasty of knee with bone graft to femur and tibia, unilateral"
3057200,"Laparoscopic appendicectomy"
4167102,"Septoplasty"
3040600,"Abdominal paracentesis"
9046503,"Surgical induction of labour by artificial rupture of membranes [ARM]"
3563804,"Laparoscopic ovarian cystectomy, unilateral"
3821802,"Coronary angiography with left and right heart catheterisation"
4644100,"Open repair of mallet finger"
4752801,"Open reduction of fracture of femur with internal fixation"
4756605,"Open reduction of fracture of fibula with internal fixation"
3568802,"Sterilisation by open abdominal approach"
4639902,"Ostectomy of finger with internal fixation"
3681200,"Cystoscopy "
4167103,"Septoplasty with submucous resection of nasal septum"
4840000,"Osteotomy of accessory bone"
3039300,"Laparoscopic division of abdominal adhesions"
4164701,"Ear toilet, bilateral"
9220902,"Management of noninvasive ventilatory support, >= 96 hours"
9061101,"Patellar tendon advancement"
9046501,"Medical induction of labour, prostaglandin"
3568800,"Laparoscopic sterilisation"
3681800,"Endoscopic ureteric catheterisation with fluoroscopic imaging of upper urinary tract, unilateral"
3208401,"Fibreoptic colonoscopy to hepatic flexure, with biopsy"
3047304,"Oesophagoscopy with biopsy"
1388202,"Management of continuous ventilatory support, 96 hours or more"
1310901,"Replacement of indwelling peritoneal catheter for peritoneal dialysis"
4758500,"Internal fixation of fracture of patella"
9046800,"Low forceps delivery"
9046601,"Surgical augmentation of labour"
4951700,"Hemiarthroplasty of knee"
4030000,"Discectomy, 1 level"
3040501,"Repair of incisional hernia with prosthesis"
3684003,"Endoscopic destruction of a single lesion of bladder <= 2 cm or tissue of bladder"
3040504,"Repair of other abdominal wall hernia with prosthesis"
3380609,"Embolectomy or thrombectomy of femoral artery"
4956003,"Arthroscopic meniscectomy of knee"
3844000,"Wedge resection of lung"
3732700,"Optical urethrotomy"
3571311,"Salpingo-oophorectomy, unilateral"
9021800,"Percutaneous transluminal coronary angioplasty with aspiration thrombectomy, 1 artery"
3213500,"Rubber band ligation of haemorrhoids"
3208700,"Fibreoptic colonoscopy to hepatic flexure, with polypectomy"
4952700,"Revision of total arthroplasty of knee"
3721900,"Transrectal needle biopsy of prostate"
3203900,"Abdominoperineal proctectomy"
3563710,"Laparoscopic excision of lesion of pelvic cavity"
3040900,"Percutaneous [closed] liver biopsy"
3701400,"Total excision of bladder"
3123002,"Excision of lesion(s) of skin and subcutaneous tissue of ear"
3563807,"Laparoscopic partial salpingectomy, unilateral "
