"procedure_code","block","procedure_desc","procedure_short_desc"
"1080100","1837","Investigation, evaluation or fitting of contact lenses","Investgtn evaln/fitting contact lenses"
"1081600","1837","Refitting of contact lenses","Refitting of contact lenses"
"1100000","1825","Electroencephalography","Electroencephalography"
"1100300","1825","Electroencephalography of >= 3 hours duration","Electroencephalography of >= 3 hours"
"1100600","1825","Temporosphenoidal electroencephalography","Temporosphenoidal electroencephalography"
"1100900","1825","Electrocorticography","Electrocorticography"
"1101200","1826","Electromyography [EMG]","Electromyography [EMG]"
"1101201","1826","Conduction studies on 1 nerve","Conduction studies on 1 nerve"
"1101202","1826","Conduction studies on 1 nerve with electromyography","Conduction studies on 1 nerve with EMG"
"1101500","1826","Conduction studies on 2 or 3 nerves","Conduction studies on 2 or 3 nerves"
"1101501","1826","Conduction studies on 2 or 3 nerves with electromyography","Conduction studies on 2 or 3 nerve w EMG"
"1101800","1826","Conduction studies on >= 4 nerves","Conduction studies on >= 4 nerves"
"1101801","1826","Conduction studies on >= 4 nerves with electromyography","Conduction studies >=4 nerves w EMG"
"1101802","1826","Conduction studies with electromyography of single fibres of nerves and muscles","Conductn stud, EMG sgl fibres nrv & musc"
"1102100","1826","Electromyography with quantitative computerised analysis","EMG with quantitative comput analysis"
"1102101","1826","Repetitive neuromuscular conduction studies","Repetitive neuromuscular conduction stud"
"1102102","1826","Repetitive neuromuscular conduction studies with quantitative computerised analysis electromyography","Repetitive neuromusc conductn stud w EMG"
"1102400","1827","Investigation of central nervous system evoked responses, 1 or 2 studies","Investgtn CNS evoked respn 1 or 2 stud"
"1102700","1827","Investigation of central nervous system evoked responses, >= 3 studies","Investigation CNS evoked respn >=3 stud"
"1120000","1835","Provocative test for glaucoma","Provocative test for glaucoma"
"1120300","1835","Tonography for glaucoma","Tonography for glaucoma"
"1120400","1835","Electroretinography [ERG]","Electroretinography [ERG]"
"1120500","1835","Electro-oculography [EOG]","Electro-oculography [EOG]"
"1120600","1835","Electroretinography [ERG]","Electroretinography [ERG]"
"1120601","1835","Electro-oculography [EOG]","Electro-oculography [EOG]"
"1120900","1835","Electroretinography with electro-oculography","Electroretinography, electro-oculography"
"1121000","1835","Pattern electroretinography","Pattern electroretinography"
"1121100","1831","Dark adaptation study","Dark adaptation study"
