"item","short_description","category","group_id"
"12533","Carbon-labelled urea breath test using oral  C-13 or C-14 urea, performed by a specialist or consult",2,"D02"
"00205","Antenatal care, confinement with delivery by any means (including Caesarean section) and postnatal c",3,"T04"
"21460","Initiation of management of anaesthesia for procedures on the skin or subcutaneous tissue of lower l",3,"T10"
"57518","Foot, ankle, lower leg, upper leg, knee or thigh (femur) (NR)",5,"I03"
"37203","Prostatectomy (endoscopic), with or without cystoscopy, and with or without urethroscopy, and includ",3,"T08"
"65069","Full blood examination consisting of: (a) a morphological assessment of a blood film; (b)	item 65063",6,"P01"
"02505","Digits or phalanges - all or any of either hand or either foot (R)",5,"I03"
"73910","Initiation of a patient episode by collection of a specimen for 1 or more services (other than those",6,"P10"
"31260","Basal cell carcinoma or squamous cell carcinoma (including keratocanthoma), removal from nose, eyeli",3,"T08"
"00057","Professional attendance at consulting rooms of more than 45 minutes duration (not being a service to",1,"A02"
"55045","Pelvis, ultrasound scan of, by any or all approaches, where:(a) the patient is not referred by a med",5,"I01"
"01911","Immunofluorescent detection of tissue antibodies, qualitative (not associated with the service speci",6,"P04"
"73917","Initiation of a patient episode by collection of specimen for a service other than a service specifi",6,"P10"
"01304","Two estimations of a kind specified in Item 1301 (SP)",6,"P02"
"01190","Heterophile antibodies-- qualitative estimation of (test for infectious mononucleosis) (SP)",6,"P01"
"01006","Blood count consisting of erythrocyte count, erythrocyte sedimentation rate, haematocrit estimation,",6,"P01"
"73289","Chromosome studies, (karyotype), by cytogenetic or other comparable techniques of blood - 1 or more ",6,"P07"
"30366","Breast, microdochotomy of, for benign or malignant condition (Anaes.) (Assist.)",3,"T08"
"10966","Osteopathy health service provided to a person by an eligible osteopath if:(a) the service is provid",8,"M03"
"01199","Compatibility testing, including all necessary grouping checks of patient and donor, examination for",6,"P01"
"06262","Intrauterine contraceptive device, introduction of, not being a service associated with a service to",3,"T08"
"01011","Three or more procedures to which Item 1006 applies including calculation of erythrocyte indices whe",6,"P01"
"00780","Urine flow study including peak urine flow measurement, not being a service associated with a servic",2,"D01"
"41677","Nasal haemorrhage, arrest of during an episode of epistaxis by cauterisation or nasal cavity packing",3,"T08"
"02124","Blood culture to determine the presence or absence of pathogenic micro-organisms excluding viruses, ",6,"P03"
"10960","Physiotherapy health service provided to a person by an eligible physiotherapist if:(a) the service ",8,"M03"
"08105","Joint or other synovial cavity-- aspiration of, injection into, or both of these procedures (AU 5)",3,"T08"
"20740","Initiation of management of anaesthesia for upper gastrointestinal endoscopic procedures",3,"T10"
"16401","Obstetric specialist, referred consultation - surgery or hospital professional attendance at consult",3,"T04"
"02611","Note:  An account issued or a patient assignment form must show the item numbers of the examinations",5,"I03"
"41864","Microlaryngoscopy with removal of tumour (Anaes.) (Assist.)",3,"T08"
"21214","Initiation of management of anaesthesia for total hip replacement or revision",3,"T10"
"66545","Oral glucose challenge test in pregnancy for the detection of gestational diabetes that includes:(a)",6,"P02"
"66265","Serum B12 or serum folate  1 or more tests within a 28 day period",6,"P02"
"69474","Detection of antibodies to Epstein Barr Virus using specific serology - 2 or more tests",6,"P03"
"01569","5estimations specified in item 66201",6,"P02"
"55274","Duplex scanning, bilateral, involving B mode ultrasound imaging and integrated doppler flow measurem",5,"I01"
"02384","Chorionic gonadotrophin (betaHCG), qualitative (if performed) and quantitative estimation in serum b",6,"P08"
"74991","Apathology service to which an item in this table (other than this item or item 64990) applies if: (",6,"P12"
"57703","Shoulder or scapula (R)",5,"I03"
"85627","Preliminary restoration for crown - direct",9,"N01"
"69257","Microbiological serology during a pregnancy (except in the investigation of a clinically apparent in",6,"P03"
"11003","Electroencephalography, prolonged recording of at least 3 hours duration, not being a service associ",2,"D01"
"87011","Initial denture examinationassessment of any existing dentures and any teeth, supporting tissues and",9,"N03"
"08712","Thallium myocardial study or thallium myocardial redistribution study (C)",5,"I04"
"01112","Compatibility testing by saline, papain, albumin or indirect Coombs techniques (by one or more of th",6,"P01"
"55034","Breast, 1 or both, ultrasound scan of, performed by, or on behalf of, a medical practitioner: (a) wh",5,"I01"
"69245","Hepatitis B serology to define the immune status of an individual, including at least hepatitis B su",6,"P03"
"00180","Professional attendance that is the sole or first attendance in a single course of attention of a pa",1,"A10"
"04319","Circumcision of a person under 6 months of age (Anaes.)",3,"T08"
"00296","Consultant psychiatrist, initial consultation on a new patient, consulting rooms professional attend",1,"A08"
"00182","Professional attendance, being the second or subsequent in a course of attention and being unrelated",1,"A10"
"11330","Impedance audiogram if the patient is not referred by a medical practitioner  1 examination in any 4",2,"D01"
"66303","2estimations specified in item 66301",6,"P02"
"01529","Microscopical examination, wet film, not covered by Item 1536 (SP)",6,"P03"
"01615","Cultural examination of material other than blood or urine for aerobic and anaerobic microorganisms ",6,"P03"
"16555","Antenatal cardiotocography in the management of high risk pregnancy (not during the course of the co",3,"T04"
"02185","3tests described in item 69384 (This fee applies where 1 laboratory, or more than 1 laboratory belon",6,"P03"
"01401","HDL cholesterol, estimation of, in proven cases of hyperlipidaemia-- one estimation in any twelve mo",6,"P02"
"02627","Chest (lung fields) by direct radiography (R)",5,"I03"
"02806","-each attendance (other than a service to which item 2814 applies) subsequent to the first in a sing",1,"A24"
"58103","Spine  thoracic (R)",5,"I03"
"65060","Haemoglobin, erythrocyte sedimentation rate, blood viscosity  1 or more tests",6,"P01"
"71117","Detection of 4 or more antibodies described in item 71165 (Item is subject to rule 6)",6,"P04"
"50124","Joint or other synovial cavity, aspiration of, or injection into, or both of these procedures; payab",3,"T08"
"12003","Skin sensitivity testing for allergens, using more than 20 allergens, not being a service associated",2,"D01"
"63164","-congenital malformation of the spinal cord or the cauda equina or the meninges (r) (Contrast) (Anae",5,"I05"
"30061","Superficial foreign body, removal of, (including from cornea or sclera) as an independent procedure ",3,"T08"
"02127","Urine examination (including serial examination) by any means other than simple culture by dip slide",6,"P03"
"55032","Neck, 1 or more structures of, ultrasound scan of, if: (a) the patient is referred by a medical prac",5,"I01"
"10953","Exercise physiology service provided to a person by an eligible exercise physiologist if:(a) the ser",8,"M03"
"02560","Skull (calvarium) (R)",5,"I03"
"17620","Aconsultation on a patient undergoing advanced surgery or who has complex medical problems involving",3,"T06"
"57712","Hip joint (R)",5,"I03"
"69272","Investigation for chronic Hepatitis B or determination of carriage of Hepatitis B antigen using: Hep",6,"P03"
"61421","Bone study - whole body, with, when undertaken, blood flow, blood pool and delayed imaging on a sepa",5,"I04"
"57515","Hand, wrist and lower forearm or upper forearm and elbow or elbow and arm (elbow to shoulder) (R)",5,"I03"
"35608","Cervix, cauterisation (other than by chemical means), ionisation, diathermy or biopsy of, with or wi",3,"T08"
"66838","Serum vitamin B12 test (Item is subject to Rule 25)",6,"P02"
"71163","Detection of one of the following antibodies (of 1 or more class or isotype) in the assessment or di",6,"P04"
"85013","Oral examination - limiteda limited problem-focused oral evaluation carried out immediately prior to",9,"N01"
"65105","Compatibility testing using at least a 3 cell panel and issue of red cells for transfusion - all tes",6,"P01"
"00009","Professional attendance at consulting rooms of more than 45 minutes duration (not being an attendanc",1,"A02"
"05020","Professional attendance by a general practitioner at consulting rooms (not being a service to which ",1,"A22"
"66680","Quantitation of disaccharidases and other enzymes in intestinal tissue - 1 or more tests",6,"P02"
"66243","Amniotic fluid, spectrophotometric examination of, estimation of lecithin/sphingomyelin ratio, palmi",6,"P02"
"02563","Sinuses (R)",5,"I03"
"39013","Injection under image intensification with 1 or more of contrast media, local anaesthetic or cortico",3,"T08"
"61473","Thyroid study including uptake measurement when undertaken (R)",5,"I04"
"20942","Initiation of management of anaesthesia for colpotomy, colpectomy or colporrhaphy",3,"T10"
"00106","-initial attendance in a single course of treatment, being an attendance at which refraction is perf",1,"A03"
"85022","Intraoral periapical or bitewing radiograph - per exposurelimit of six (6) per day.",9,"N01"
"55054","Ultrasonic cross-sectional echography, in conjunction with a surgical procedure using interventional",5,"I01"
"06469","Evacuation of the contents of the gravid uterus by curettage or suction curettage not being a servic",3,"T08"
"69336","Microscopy of faeces for ova, cysts and parasites using concentration techniques including use of fi",6,"P03"
"00007","Professional attendance at consulting rooms of more than 25 minutes duration but not more than 45 mi",1,"A02"
"65120","Prothrombin time (including INR where appropriate), activated partial thromboplastin time, thrombin ",6,"P01"
"58109","Spine  sacrococcygeal (R)",5,"I03"
"73802","Blood count consisting of leucocyte count, erythrocyte sedimentation rate, examination of blood film",6,"P09"
"15999","Planning and management of a pregnancy that has progressed beyond 20 weeks provided the fee does not",3,"T04"
"41632","Middle ear, insertion of tube for drainage of (including myringotomy) (Anaes.)",3,"T08"
"00070","Professional attendance, being an attendance at other than consulting rooms, on not more than one pa",1,"A02"
"02294","Pathology examination of any body fluid or tissue not covered by any other item in this Part (SP)",6,"P09"
"02181","Quantitation of 1 antibody to microbial antigens not elsewhere described in the Schedule - 1 test (T",6,"P03"
"00140","Professional attendance by a consultant physician in the practice of his or her specialty of psychia",1,"A08"
"69261","Examination for Chlamydia (by culture or by the demonstration of chlamydial nucleic acid using a DNA",6,"P03"
"73808","Microscopical examination of gram stained film",6,"P09"
"10992","Amedical service to which item 1, 97, 601, 697, 5003, 5007, 5010, 5023, 5026, 5028, 5043, 5046, 5049",8,"M01"
"01307","Three to five estimations of a kind specified in Item 1301 (SP)",6,"P02"
